protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
Q8TD55	>sp|Q8TD55|PKHO2_HUMAN Pleckstrin homology domain-containing family O member 2 OS=Homo sapiens OX=9606 GN=PLEKHO2 PE=1 SV=1	PLEKHO2	20.0875254690202	19.4206173191381	18.9449128190225	18.5226027559154	18.9432872213839	20.2307298027475
Q9HBL7	>sp|Q9HBL7|PLRKT_HUMAN Plasminogen receptor (KT) OS=Homo sapiens OX=9606 GN=PLGRKT PE=1 SV=1	PLGRKT	19.032364422213	19.3284502101209	19.8216324507271	19.1690982850307	20.3931358638742	20.1942239318519
O60664	>sp|O60664|PLIN3_HUMAN Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3	PLIN3	23.8764046598952	23.6338447350614	23.8625246488552	24.0341017105604	23.4329470590363	24.4512055891374
Q02809	>sp|Q02809|PLOD1_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens OX=9606 GN=PLOD1 PE=1 SV=2	PLOD1	24.0018754220766	23.2194383092407	23.0762231611698	24.0967315523639	23.8597064572505	24.1822214600086
O00469	>sp|O00469|PLOD2_HUMAN Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2	PLOD2	23.743277179277	24.2993359036289	22.6949128848206	23.5788989416193	24.5910022833521	22.8198813703312
O60568	>sp|O60568|PLOD3_HUMAN Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Homo sapiens OX=9606 GN=PLOD3 PE=1 SV=1	PLOD3	23.4115074463432	23.0094694548944	22.9603941315495	23.1957096348633	23.2776657815743	23.3553846556952
Q04941	>sp|Q04941|PLP2_HUMAN Proteolipid protein 2 OS=Homo sapiens OX=9606 GN=PLP2 PE=1 SV=1	PLP2	23.8505141724905	23.0969133833371	21.9836352392918	23.4710862154055	22.884799351871	22.685047372916
O94903	>sp|O94903|PLPHP_HUMAN Pyridoxal phosphate homeostasis protein OS=Homo sapiens OX=9606 GN=PLPBP PE=1 SV=1	PLPBP	21.8738419508691	21.989054956791	22.2891986201079	21.8362496881612	21.7436999123397	21.8130760752491
O14495	>sp|O14495|PLPP3_HUMAN Phospholipid phosphatase 3 OS=Homo sapiens OX=9606 GN=PLPP3 PE=1 SV=1	PLPP3	18.8316624253624	19.4323794449711	20.3846912777425	18.3215773451936	19.4010423497784	18.9735461113601
O43660	>sp|O43660|PLRG1_HUMAN Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1	PLRG1	20.6637007250227	20.9175149509972	20.656524992319	20.5815053038707	20.3680151213463	20.7711595994989
