protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P21912	>sp|P21912|SDHB_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3	SDHB	23.5963497722629	23.443694979798	23.5504002866828	23.2043444269117	23.6362823817056	23.3035181524409	23.2309160173876	23.1960214649411
Q58EX2	>sp|Q58EX2|SDK2_HUMAN Protein sidekick-2 OS=Homo sapiens OX=9606 GN=SDK2 PE=1 SV=3	SDK2	19.616930224897	18.1398967936557	18.1986717376253	18.0197955152866	19.1499410324656	17.3334002132423	17.4320028135555	17.4992517262774
Q9NRG7	>sp|Q9NRG7|D39U1_HUMAN Epimerase family protein SDR39U1 OS=Homo sapiens OX=9606 GN=SDR39U1 PE=1 SV=3	SDR39U1	20.2395135641687	19.634683704503	18.6342295048824	18.7083383905886	20.1908211413664		19.1857691301489	19.4718332656814
Q96GA7	>sp|Q96GA7|SDSL_HUMAN Serine dehydratase-like OS=Homo sapiens OX=9606 GN=SDSL PE=1 SV=1	SDSL	20.6308570480643	20.7902531335369	20.2320519824569	20.9060051787684	21.0627435255612	21.1228269328695	20.7889649395155	20.8091771513327
P67812	>sp|P67812|SC11A_HUMAN Signal peptidase complex catalytic subunit SEC11A OS=Homo sapiens OX=9606 GN=SEC11A PE=1 SV=1	SEC11A	24.1025477724177	23.543429203221	23.5424808744873	23.2142623093313	24.0491040907747	23.7237681297838	23.3950259357674	23.7618797022686
P55735	>sp|P55735|SEC13_HUMAN Protein SEC13 homolog OS=Homo sapiens OX=9606 GN=SEC13 PE=1 SV=3	SEC13	23.2640112735439	23.5580786649475	23.6646611656629	23.8391285957502	23.5471848577633	23.6568146483444	24.0473777098223	23.9056490171721
O76054	>sp|O76054|S14L2_HUMAN SEC14-like protein 2 OS=Homo sapiens OX=9606 GN=SEC14L2 PE=1 SV=1	SEC14L2	26.5515426375964	27.0877424474054	25.2109862893072		26.2828077601791	27.352801127677	25.5492666765791	26.0093460242657
O15027	>sp|O15027|SC16A_HUMAN Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4	SEC16A	20.0987252795313	20.2003399390776	20.1130496836977	20.4198711413471	19.2297670217001	19.7359667447832	19.2475862773533	19.2591533427363
Q96IW7	>sp|Q96IW7|SC22A_HUMAN Vesicle-trafficking protein SEC22a OS=Homo sapiens OX=9606 GN=SEC22A PE=1 SV=1	SEC22A	18.0732578715237	17.5100193409561	17.2599265046071	17.4115421042607	17.7460041385621	17.3670183939741	16.8434749752895	17.4281936558637
O75396	>sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=5	SEC22B	24.8298116511139	24.6618659898979	24.3532977278266	24.2715234932657	24.5709326125436	23.7897596944954	24.1516383811576	24.5480407452941
