protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
Q9UHQ9	>sp|Q9UHQ9|NB5R1_HUMAN NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1	CYB5R1	22.5137114037051	22.3865171944621	22.8025357634351	22.2543154914853	21.2009760551605	21.5585594585052	22.0918586059979
P00387	>sp|P00387|NB5R3_HUMAN NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3	CYB5R3	22.8252620893982	22.8225405147352	23.6027744580028	23.3048450549464	24.8735981004786	24.9620418115587	24.6615246388443
Q9BQA9	>sp|Q9BQA9|CYBC1_HUMAN Cytochrome b-245 chaperone 1 OS=Homo sapiens OX=9606 GN=CYBC1 PE=1 SV=1	CYBC1	20.9666489097609	20.787084683968	21.0936048114065	20.7801060437158	19.7706914335337	20.1456664969395	20.0790199081856
P08574	>sp|P08574|CY1_HUMAN Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens OX=9606 GN=CYC1 PE=1 SV=3	CYC1	21.9795787063914	22.5285182632813	22.0567151858456	21.6436506635318	22.1733473360973	22.4834322821967	22.7263176323058
P99999	>sp|P99999|CYC_HUMAN Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2	CYCS	23.5687129599392	22.5731577074519	24.2875240563956	23.464003908629	24.29933949225	23.4906549983506	22.6263466516316
Q7L576	>sp|Q7L576|CYFP1_HUMAN Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1	CYFIP1	21.6532589452119	21.825630759855	21.4927988175997	21.8837408092826	20.5768317816896	20.7430577309154	20.4845244867501
Q16850	>sp|Q16850|CP51A_HUMAN Lanosterol 14-alpha demethylase OS=Homo sapiens OX=9606 GN=CYP51A1 PE=1 SV=4	CYP51A1	18.3162236614398	18.4201268718392	17.7467341881991	18.4949333125394	18.0738890098486	19.7602240827751	18.5637276242387
Q9NUQ9	>sp|Q9NUQ9|CYRIB_HUMAN CYFIP-related Rac1 interactor B OS=Homo sapiens OX=9606 GN=CYRIB PE=1 SV=1	CYRIB	21.3347884834509	21.6212792579471	22.9520837041844	22.6910335051756	22.1395953600202	22.2325695816922	22.2922960809046
Q8N465	>sp|Q8N465|D2HDH_HUMAN D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=D2HGDH PE=1 SV=3	D2HGDH	18.2797909219188	18.96558687387		18.5919437288536	17.5400080340997	18.270242242372	18.7059719992621
P98082	>sp|P98082|DAB2_HUMAN Disabled homolog 2 OS=Homo sapiens OX=9606 GN=DAB2 PE=1 SV=3	DAB2	22.2580822620313	21.2269929023693	21.2921413484628	21.137169732076	21.5365603312986	19.5125131741067	20.3933420910768
P61803	>sp|P61803|DAD1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX=9606 GN=DAD1 PE=1 SV=3	DAD1	24.2816369800412	23.6658830070551	23.5730525666265	23.5841473279333	23.2799260106471	23.5643686374798	23.2901083453201
