protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q6UVY6	>sp|Q6UVY6|MOXD1_HUMAN DBH-like monooxygenase protein 1 OS=Homo sapiens OX=9606 GN=MOXD1 PE=1 SV=1	MOXD1	21.9261552656235	23.6441820783126	22.3944830686522	22.2079046158234	22.5537592260705	21.4767012060364	21.9130265172668
O95563	>sp|O95563|MPC2_HUMAN Mitochondrial pyruvate carrier 2 OS=Homo sapiens OX=9606 GN=MPC2 PE=1 SV=1	MPC2	20.7672899397864	21.1332105697813	20.4851789006186	21.1735896502403	20.7477098642992	20.5497491751021	21.0134173464922
O75352	>sp|O75352|MPU1_HUMAN Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens OX=9606 GN=MPDU1 PE=1 SV=2	MPDU1	24.737580038776	25.3455687681675	24.8132125726844	24.8500227142602	24.6438461971564	24.3315667916907	24.4190781124906
O75970	>sp|O75970|MPDZ_HUMAN Multiple PDZ domain protein OS=Homo sapiens OX=9606 GN=MPDZ PE=1 SV=2	MPDZ	17.3065913512682	18.0370947956154	17.7145170583176	17.7253915349616	18.2566250732993	18.4120817341264	18.660484581508
P29372	>sp|P29372|3MG_HUMAN DNA-3-methyladenine glycosylase OS=Homo sapiens OX=9606 GN=MPG PE=1 SV=3	MPG	19.9054007778973	19.1818338315317	18.9225456704732	18.8101140544503	19.3777676546151	19.8036789872016	18.678241768637
Q99549	>sp|Q99549|MPP8_HUMAN M-phase phosphoprotein 8 OS=Homo sapiens OX=9606 GN=MPHOSPH8 PE=1 SV=2	MPHOSPH8	18.2678868676271	21.3791809525177	18.3674839743559	18.6000912022911	18.7218590256203	20.8368326450761	17.7892487653234
P34949	>sp|P34949|MPI_HUMAN Mannose-6-phosphate isomerase OS=Homo sapiens OX=9606 GN=MPI PE=1 SV=2	MPI	18.5575608801269	17.6747722893349	18.5463324109589	18.7086564102473	18.8732297364579	19.040719506563	18.6970870723751
Q14168	>sp|Q14168|MPP2_HUMAN MAGUK p55 subfamily member 2 OS=Homo sapiens OX=9606 GN=MPP2 PE=1 SV=3	MPP2	20.2632338943544	20.8436892812897	20.5787051941015	21.009732598297	20.625423059723	19.4520180459521	20.5498290544354
Q5T2T1	>sp|Q5T2T1|MPP7_HUMAN MAGUK p55 subfamily member 7 OS=Homo sapiens OX=9606 GN=MPP7 PE=1 SV=1	MPP7	18.1803779625141	22.8740673700235	18.9221504796327	19.3207653272165	21.9710297392466	17.7704357770842	17.9549942219968
Q6WCQ1	>sp|Q6WCQ1|MPRIP_HUMAN Myosin phosphatase Rho-interacting protein OS=Homo sapiens OX=9606 GN=MPRIP PE=1 SV=3	MPRIP	20.0756792969819	21.4936821781977	20.0141429573301	20.513663958338	20.7314959427083	20.3561805777956	20.7319149302156
