protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng
P41214	>sp|P41214|EIF2D_HUMAN Eukaryotic translation initiation factor 2D OS=Homo sapiens OX=9606 GN=EIF2D PE=1 SV=3	EIF2D	17.810941469637	18.2161734248015	17.8924136111953	17.7787712285326	18.3729042616694	18.1238816519316	19.0302363959552
P05198	>sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3	EIF2S1	23.2098561857531	22.9662359625007	22.9927665636111	22.8219171257624	23.3596553141879	23.1828170810383	23.6738789802206
P20042	>sp|P20042|IF2B_HUMAN Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2	EIF2S2	22.2437985474674	22.155036185622	22.0502032659796	21.7944862643299	22.3611243095414	22.4210642543092	23.0790337595
P41091	>sp|P41091|IF2G_HUMAN Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3	EIF2S3	22.5699919103761	22.4830950658825	22.3294129576008	22.2705459145025	22.7624660508655	22.6196336594703	23.2177835729205
Q14152	>sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	EIF3A	22.6643417370773	22.374421535846	22.2016029098949	22.4973267811133	22.8681865297464	22.8203989367443	23.0735758156905
P55884	>sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3	EIF3B	22.2617520012169	21.9923166026771	21.7893428926578	21.8705109769726	22.2396129288551	22.5341221787037	22.6749772956409
Q99613	>sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1	EIF3C	22.4346534872305	22.1055531873691	21.8145910855193	22.140879980015	22.4591521509468	22.637827503843	22.8444707596758
O15371	>sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	EIF3D	21.9554091740787	21.6343392920078	21.4901928265663	21.7125937607925	21.9878241720425	21.6908700988193	22.1090431866098
P60228	>sp|P60228|EIF3E_HUMAN Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1	EIF3E	22.1900736771223	22.0985311723154	21.7936155982385	21.9691981357945	22.401604114785	22.4371502630647	22.7310310448966
O00303	>sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	EIF3F	22.5961925150577	22.0969707880684	21.9175745750655	22.2004332921174	22.5704497904237	22.6263953794735	23.0171159629497
